Length,Width,Height,Permittivity,Conductivity,Bend,Feed,S11,VSWR,Gain,Efficiency,Bandwidth,epsilon_r,FaultLabel
44.71,35.72,0.87,1.66,9452.77,0.26,-16.86,-24.85,3.02,4.99,79.11,80.26,3.31,1
40.5,31.3,0.97,1.73,4685.16,0.15,-13.81,-12.02,3.18,3.3,57.19,93.99,1.87,1
43.6,35.99,1.26,2.02,10428.53,0.23,-22.75,-18.48,3.16,1.72,30.07,135.57,2.19,1
44.72,31.01,1.15,2.11,13956.13,1.16,-15.46,-5.96,1.78,4.64,62.92,41.69,3.01,1
46.61,35.73,0.81,1.59,4811.79,0.78,-13.82,-21.39,3.58,1.33,38.38,75.02,1.97,1
47.29,31.88,0.95,1.88,3661.5,0.79,-8.41,-22.89,3.18,2.95,78.75,123.35,3.48,1
48.5,31.06,1.23,2.25,9921.85,0.35,-15.18,-15.93,1.36,1.47,89.41,45.64,3.93,1
40.35,31.48,1.01,2.28,13108.0,0.74,-10.64,-7.24,1.2,-0.41,82.13,44.73,2.16,1
46.99,32.06,1.03,1.8,6484.08,0.87,-17.98,-10.36,1.05,-0.83,58.1,150.01,1.62,1
44.23,36.67,1.44,1.53,5284.39,0.11,-10.4,-5.17,1.33,5.6,87.5,106.12,3.49,1
48.24,31.08,1.22,2.03,11279.81,0.19,-20.39,-8.83,3.16,2.59,32.77,42.22,2.6,1
45.58,39.28,1.59,2.11,9028.17,1.18,-24.34,-21.38,3.11,1.2,59.86,114.75,2.33,1
43.53,36.46,1.08,2.21,7675.48,0.17,-8.53,-16.54,1.52,5.9,35.9,78.66,3.19,1
43.74,37.38,1.47,2.48,3145.94,0.22,-24.31,-23.72,3.86,0.56,35.02,72.4,3.69,1
42.43,34.76,1.12,2.06,5637.85,0.91,-5.95,-8.92,1.74,4.93,39.25,79.99,3.66,1
45.15,37.84,1.01,2.44,7816.59,0.59,-15.46,-17.72,3.28,3.03,66.21,112.11,2.55,1
47.46,30.94,1.55,1.64,9755.33,0.81,-17.68,-22.89,2.46,1.35,83.46,64.38,2.35,1
41.45,39.34,0.96,1.53,8650.45,0.73,-23.99,-11.16,2.69,2.94,34.86,82.81,3.41,1
48.25,33.99,0.86,2.42,10613.37,0.41,-7.31,-18.43,3.52,3.28,52.92,62.06,3.57,1
45.82,37.19,1.44,1.88,5462.07,0.86,-20.83,-10.52,3.21,1.36,43.69,129.8,3.81,1
42.37,35.9,1.46,2.07,7624.24,0.48,-17.96,-20.33,3.81,4.43,83.19,82.26,3.92,1
49.77,37.73,1.26,1.76,11242.12,0.6,-10.57,-16.12,2.49,-0.86,74.4,44.11,1.8,1
42.53,39.64,1.27,2.22,4174.78,1.1,-7.36,-3.7,3.88,4.36,50.64,100.54,2.57,1
42.94,33.42,0.87,1.88,6147.12,0.48,-12.51,-9.93,3.25,0.55,40.98,156.18,2.89,1
48.43,38.05,1.31,2.05,7027.66,0.36,-24.17,-5.74,3.47,4.19,47.87,96.73,2.56,1
41.43,37.41,1.35,2.15,4642.24,0.23,-15.21,-14.35,1.38,5.76,79.04,144.67,2.66,0
45.45,38.88,1.45,1.65,3111.05,0.53,-17.7,-24.38,3.43,2.61,88.56,140.02,1.99,1
44.69,32.21,0.84,1.92,4435.72,0.11,-21.19,-3.7,1.48,2.52,70.16,65.94,3.72,1
40.37,36.74,1.14,2.29,5845.38,0.3,-18.07,-8.33,3.64,3.02,66.76,61.51,3.23,1
42.51,31.06,1.57,1.84,13202.99,0.81,-6.93,-16.43,3.62,0.57,67.38,157.67,2.92,1
45.26,35.65,1.11,1.62,13866.29,0.24,-15.52,-16.03,3.06,-0.68,74.14,158.19,2.33,1
48.91,38.65,1.09,1.51,5834.16,0.58,-15.63,-10.28,2.33,1.69,37.3,111.81,3.8,1
48.95,38.75,1.1,2.16,14932.32,0.58,-12.05,-3.49,3.71,4.78,40.2,78.73,3.26,1
43.47,32.86,1.1,1.96,6815.12,0.24,-10.73,-5.68,3.75,3.64,67.59,126.24,3.4,1
49.63,37.03,0.86,1.74,6886.38,0.21,-10.75,-11.2,1.97,2.62,45.74,43.34,1.59,1
43.56,31.27,0.86,1.7,14879.01,0.56,-5.23,-6.19,2.82,0.22,39.93,133.04,1.74,1
41.23,33.17,1.36,1.62,13686.36,0.17,-9.5,-9.82,2.54,4.34,62.87,123.27,1.59,1
48.11,39.34,1.35,2.36,3646.67,1.03,-9.43,-8.06,1.99,-0.89,59.68,104.13,3.58,1
43.68,37.88,0.82,1.62,14198.37,0.72,-5.09,-11.2,1.27,5.38,43.71,127.44,2.81,1
48.88,36.78,0.84,1.74,6378.92,0.29,-20.24,-20.03,3.64,2.24,82.59,56.56,3.91,1
44.31,34.65,1.45,1.68,9874.71,0.69,-12.04,-24.7,1.13,-0.36,53.6,111.73,2.74,1
48.84,34.96,1.49,2.2,12230.66,0.4,-7.06,-3.35,3.73,4.77,80.75,53.27,2.35,1
45.99,35.99,0.98,2.27,12236.37,1.13,-24.89,-15.59,2.71,1.38,89.49,47.19,2.05,1
47.36,33.82,0.99,2.09,9419.23,1.14,-5.51,-7.87,3.63,3.84,77.13,104.02,3.67,1
42.27,37.95,1.37,2.38,7110.13,1.08,-8.71,-15.44,3.57,1.29,65.62,67.6,3.43,1
45.1,30.13,0.92,2.17,7404.31,1.16,-14.96,-9.86,1.4,2.36,74.05,140.02,3.24,1
44.12,35.35,1.2,2.14,5798.07,0.28,-20.28,-22.91,1.85,0.8,63.65,134.41,1.57,1
40.06,35.67,1.01,2.36,6991.38,0.56,-19.97,-24.3,1.05,1.38,67.59,62.06,4.0,1
43.04,34.34,0.8,1.7,13247.91,0.97,-24.73,-11.65,2.55,-0.32,74.5,83.47,3.74,1
47.05,36.59,1.19,1.85,7373.68,0.3,-11.4,-7.46,1.96,4.93,32.0,122.13,2.95,1
40.77,35.61,1.01,1.6,9362.5,0.71,-18.01,-17.01,3.76,2.84,78.13,123.31,2.9,1
49.86,31.14,1.27,2.49,4136.82,0.65,-15.0,-16.43,1.82,1.67,87.41,41.01,3.93,1
44.22,35.97,1.11,1.94,3993.62,0.41,-8.0,-15.09,3.15,0.99,78.36,115.88,2.48,1
42.92,31.97,1.32,1.74,9782.84,0.94,-11.65,-18.02,2.9,3.4,31.24,95.3,3.31,1
48.65,33.06,1.42,2.23,5418.6,0.42,-21.84,-11.52,1.75,5.46,42.19,69.46,3.1,1
44.8,39.01,1.38,2.23,10639.73,1.09,-10.5,-11.11,3.76,4.35,30.89,144.23,3.29,1
43.24,36.03,1.12,1.73,6983.7,0.98,-7.87,-21.1,3.6,0.89,75.38,66.81,3.14,1
41.38,32.04,0.93,2.28,14054.31,0.39,-22.47,-15.99,1.27,-0.73,80.5,100.98,2.33,1
41.75,32.56,1.18,1.72,12008.14,1.12,-8.3,-11.77,1.77,-0.95,84.95,98.9,3.35,1
46.69,34.4,1.06,1.64,14961.14,0.75,-18.91,-7.96,3.31,0.89,45.72,127.79,2.69,1
45.58,35.43,1.32,2.23,9597.19,0.96,-10.69,-12.78,3.01,5.41,79.28,66.03,3.34,1
45.5,30.96,1.19,2.16,6435.78,0.92,-5.96,-16.63,1.08,3.23,44.13,72.87,3.31,1
46.74,32.94,1.0,2.48,14298.54,0.91,-5.37,-3.15,1.81,1.42,85.28,126.02,1.83,1
42.32,33.97,1.3,1.53,10375.7,0.88,-7.17,-10.57,2.7,1.09,52.93,113.59,1.9,1
45.73,37.38,1.45,2.27,3898.77,0.3,-15.54,-21.18,3.63,4.15,53.33,141.99,2.12,1
49.66,33.35,1.43,2.07,5406.43,0.23,-15.04,-20.54,2.18,-0.7,56.07,85.63,3.99,1
40.64,38.64,1.36,2.4,8419.34,0.84,-22.62,-16.25,1.62,-0.71,86.88,65.91,3.86,1
48.24,33.79,0.93,2.38,5683.42,1.09,-21.93,-4.8,2.11,2.31,74.54,46.51,3.07,1
48.5,30.7,1.1,2.28,9045.27,0.67,-22.74,-20.38,3.19,1.19,74.27,111.85,3.15,1
40.84,35.31,1.56,1.76,4172.94,0.52,-10.78,-5.64,2.34,-0.9,77.48,59.56,3.36,1
40.27,31.34,0.9,1.74,13447.85,0.68,-10.95,-23.53,3.85,-0.8,83.47,42.58,3.72,1
48.5,31.06,1.23,2.25,9921.85,0.35,-15.18,-15.93,1.36,1.47,89.41,45.64,3.93,1
48.68,36.07,1.13,1.94,13611.9,0.84,-5.2,-10.23,1.32,2.45,68.18,41.89,3.15,1
46.64,37.08,1.36,1.55,14107.49,0.89,-13.96,-13.43,3.46,2.19,81.72,123.6,2.36,1
49.33,38.61,1.19,2.49,3855.69,0.82,-24.36,-17.42,2.68,2.38,56.19,152.49,1.54,1
46.32,34.8,1.45,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,2.76,1
46.52,33.04,0.96,2.45,9261.55,0.58,-18.88,-10.47,1.03,5.38,66.97,40.07,3.72,1
40.94,30.82,1.26,1.72,11971.58,0.43,-8.48,-5.15,2.59,3.92,75.84,115.2,2.23,1
46.96,32.94,1.42,1.52,12346.36,0.5,-18.42,-12.73,3.71,2.56,43.57,94.89,1.82,1
42.78,37.69,1.47,1.84,10217.97,1.13,-7.44,-20.01,2.71,-0.91,88.05,134.67,2.77,1
44.49,36.77,1.36,1.6,14408.62,0.36,-23.69,-18.97,3.82,5.84,58.27,80.57,2.65,1
49.62,34.47,1.13,1.62,3091.41,0.24,-23.05,-7.66,2.16,4.79,69.81,92.78,2.18,1
40.61,34.85,0.91,2.18,8036.3,1.19,-12.96,-12.44,3.67,1.27,44.99,131.66,2.08,1
48.94,39.2,1.3,1.88,14694.73,0.8,-23.68,-23.14,3.25,-0.57,30.47,87.26,3.1,1
43.06,31.72,0.97,2.03,11400.38,1.14,-9.39,-9.47,2.9,5.99,66.57,133.8,2.97,1
40.62,36.0,0.99,1.83,13482.66,0.97,-14.69,-5.71,2.75,0.96,88.56,47.12,3.05,1
44.66,34.76,0.87,2.19,5069.69,0.16,-19.98,-3.74,2.0,-0.6,70.22,60.88,3.65,1
40.39,33.46,1.31,1.88,10739.88,0.94,-9.57,-18.77,3.92,2.88,67.67,116.23,3.22,1
45.95,35.91,0.92,2.0,5183.81,0.83,-23.97,-17.14,2.78,5.71,35.91,58.54,2.08,1
40.51,32.5,1.03,1.79,11017.09,1.12,-13.2,-10.57,2.48,2.3,73.27,122.09,2.98,1
44.35,36.19,1.24,2.02,4339.81,0.14,-17.83,-4.27,1.54,0.88,58.99,149.7,1.91,1
40.06,35.67,1.01,2.36,6991.38,0.56,-19.97,-24.3,1.05,1.38,67.59,62.06,4.0,1
46.7,36.79,1.19,1.77,8143.04,0.32,-10.62,-23.25,2.05,-0.41,71.69,143.53,1.87,1
48.08,33.99,1.55,2.21,4260.45,0.71,-20.78,-10.87,2.21,-0.71,83.97,150.34,2.65,1
45.11,37.15,1.31,2.32,9305.6,1.08,-23.35,-7.63,3.64,4.52,37.11,101.86,1.75,1
49.65,35.81,1.05,2.29,3264.12,1.04,-22.62,-24.47,1.43,4.85,33.04,149.65,1.63,1
41.76,34.07,1.55,2.36,4342.35,0.95,-6.9,-7.05,3.84,5.62,73.86,76.03,2.92,1
40.37,38.7,1.44,2.27,8623.21,0.85,-16.77,-20.77,2.17,4.51,78.11,155.34,2.98,1
46.61,35.73,0.81,1.59,4811.79,0.78,-13.82,-21.39,3.58,1.33,38.38,75.02,1.97,1
47.13,37.05,1.49,1.87,14943.02,1.16,-24.73,-7.6,3.05,-0.41,88.33,47.78,2.36,1
43.96,33.13,1.37,2.33,4550.23,0.84,-9.07,-4.9,2.03,0.88,74.79,87.82,2.17,1
43.24,37.12,1.11,2.31,10604.78,0.14,-15.59,-13.58,1.18,-0.59,78.16,71.49,1.71,1
42.83,34.04,0.82,2.41,12732.84,0.25,-8.63,-17.75,2.82,2.42,56.68,113.08,3.5,1
43.52,31.22,1.54,2.2,11354.27,0.46,-20.93,-9.33,1.87,3.31,35.63,92.55,2.39,1
42.31,33.74,1.46,1.95,14959.09,1.15,-19.81,-22.14,3.12,-0.75,41.72,75.09,3.88,1
47.39,35.26,1.6,1.66,7623.24,0.42,-7.43,-14.36,3.74,3.95,89.93,111.97,2.94,1
49.04,39.7,1.32,1.69,12521.06,0.51,-19.71,-12.02,2.33,2.63,88.23,44.61,2.23,1
41.42,39.99,0.92,1.91,4383.47,0.49,-20.56,-16.79,1.31,3.93,52.01,154.24,2.52,1
40.9,33.18,0.92,2.26,12842.3,0.98,-5.65,-22.31,3.76,3.84,37.23,157.26,2.98,1
46.85,36.24,1.04,2.09,5841.65,0.74,-17.13,-5.15,3.89,4.36,79.17,134.48,1.56,1
45.65,30.13,1.54,1.51,7678.89,0.98,-5.0,-24.57,3.47,2.57,32.29,133.25,2.12,1
48.8,38.81,1.39,1.83,6839.72,0.75,-19.09,-9.82,2.33,0.98,30.9,142.86,2.5,1
42.35,39.25,1.45,1.75,4639.7,1.11,-18.05,-17.72,3.21,2.39,77.09,68.28,1.6,1
41.0,35.45,1.12,1.92,7190.12,0.11,-23.14,-18.65,3.39,-0.08,67.75,40.55,3.15,1
49.79,31.09,1.43,2.41,9097.74,1.06,-8.99,-24.38,3.41,2.37,66.53,79.94,3.08,1
41.5,30.98,1.34,1.89,6742.99,0.49,-14.85,-19.93,1.81,5.74,51.98,137.43,3.95,1
43.8,39.93,1.17,1.65,5094.3,0.65,-14.95,-15.69,1.59,-0.38,65.06,56.52,3.34,1
46.92,36.72,1.1,1.65,7567.3,1.06,-23.92,-21.08,3.02,0.6,81.0,57.53,3.71,1
40.89,33.53,1.43,1.57,7163.54,0.98,-14.96,-10.04,2.22,-0.37,69.26,101.37,2.8,1
42.74,39.82,1.03,2.02,6533.58,0.99,-15.0,-19.15,1.35,4.25,43.43,44.04,3.43,1
45.68,38.08,1.22,2.14,9557.77,0.62,-22.4,-6.79,1.33,1.88,36.21,133.61,3.45,1
41.36,32.86,0.89,1.6,9143.82,0.74,-21.49,-9.89,3.63,3.85,41.86,115.93,3.8,1
49.6,34.07,1.55,2.22,8468.86,0.32,-15.74,-23.04,3.59,2.5,64.25,139.59,1.8,1
46.97,33.0,1.13,2.35,5306.38,0.18,-8.99,-6.03,1.54,4.71,43.8,135.06,2.49,1
47.44,33.96,1.46,1.84,12570.57,0.42,-15.03,-16.26,3.99,0.69,80.52,136.95,2.15,1
45.55,35.87,1.03,1.93,5320.94,0.86,-20.19,-10.78,3.93,0.57,31.4,89.88,2.97,1
42.49,30.94,1.34,1.69,11932.77,1.0,-17.48,-8.72,1.09,4.87,84.52,44.68,3.08,1
40.37,33.28,0.89,1.78,14913.51,0.36,-9.24,-7.64,1.19,1.74,38.95,78.96,2.8,1
47.9,38.47,0.85,1.67,9066.35,0.33,-14.34,-14.15,1.38,-0.4,30.7,139.0,2.92,1
46.14,33.12,1.19,1.8,7763.74,0.56,-22.53,-8.68,2.03,-0.34,79.0,66.11,2.37,1
48.03,33.49,1.33,1.86,10428.24,0.15,-22.98,-10.5,3.57,1.17,74.43,132.64,3.49,1
40.72,33.85,1.52,1.61,13457.54,0.94,-19.01,-18.35,1.36,4.05,55.46,129.48,2.64,1
47.44,33.96,1.46,1.84,12570.57,0.42,-15.03,-16.26,3.99,0.69,80.52,136.95,2.15,1
42.1,33.9,1.21,1.85,7880.55,0.9,-24.13,-3.95,2.81,0.14,63.43,49.71,2.84,1
48.08,33.99,1.55,2.21,4260.45,0.71,-20.78,-10.87,2.21,-0.71,83.97,150.34,2.65,1
49.3,34.67,1.58,1.53,10991.48,0.46,-22.17,-13.25,2.37,0.41,71.6,42.65,1.85,1
46.32,34.8,1.45,2.11,9731.05,0.43,-5.93,-3.3,3.99,4.48,89.37,105.11,2.76,1
44.02,31.39,1.09,2.29,9097.26,0.65,-20.84,-17.03,3.25,1.92,40.54,155.06,3.91,1
49.43,33.03,1.13,2.31,3747.11,0.81,-22.45,-18.68,3.49,-0.61,32.16,90.14,1.55,1
47.29,31.88,0.95,1.88,3661.5,0.79,-8.41,-22.89,3.18,2.95,78.75,123.35,3.48,1
45.61,33.31,1.54,1.84,5919.46,0.53,-23.06,-21.49,1.29,3.98,49.92,44.48,2.33,1
42.25,35.79,0.82,2.32,8117.25,0.9,-24.49,-7.52,2.65,-0.85,32.89,88.84,3.11,1
49.75,36.72,1.24,1.91,10387.43,0.53,-10.64,-19.2,2.0,3.61,64.79,116.88,2.39,0
45.22,39.79,0.93,2.43,7977.33,1.07,-17.52,-4.8,3.64,4.81,49.76,71.11,2.12,1
46.32,33.38,0.9,2.18,10464.45,0.97,-22.46,-4.94,3.4,5.42,82.35,121.72,3.04,1
45.24,32.21,1.14,1.7,7547.73,0.74,-22.49,-13.89,3.43,0.42,80.69,90.19,3.44,1
49.77,38.6,1.07,2.03,10782.96,0.64,-21.55,-10.84,3.0,3.11,61.26,96.27,2.52,1
45.8,35.02,1.32,1.68,6884.09,0.76,-9.6,-19.76,1.25,1.8,61.47,92.2,3.78,1
45.07,36.73,1.15,1.92,6633.1,0.25,-14.29,-3.06,1.09,4.33,61.0,110.82,3.94,1
43.67,34.8,0.86,1.81,12030.28,1.18,-15.73,-15.27,1.43,3.83,83.31,47.72,3.64,1
43.59,31.76,1.18,1.51,6193.41,0.68,-14.06,-21.11,2.18,2.32,80.95,64.37,2.79,1
47.12,39.49,1.5,1.5,6395.11,0.29,-19.03,-4.12,2.68,-0.33,71.18,62.83,1.79,1
40.91,39.9,1.48,2.08,6971.17,0.91,-13.07,-22.89,2.69,-0.86,77.32,138.83,2.28,1
43.6,35.99,1.26,2.02,10428.53,0.23,-22.75,-18.48,3.16,1.72,30.07,135.57,2.19,1
41.83,39.88,0.85,2.32,12120.99,0.17,-8.89,-3.24,3.92,4.04,57.96,117.74,2.2,1
47.04,39.36,1.21,2.2,10768.27,0.33,-12.11,-3.4,1.33,3.82,66.86,85.1,2.49,1
48.44,33.93,0.85,1.59,11419.83,0.9,-20.3,-19.76,3.5,4.57,41.38,95.48,3.38,1
40.69,38.96,1.24,2.38,12520.91,0.91,-5.88,-17.42,2.88,5.34,44.76,40.73,1.83,1
41.21,35.49,1.28,2.01,9427.09,0.79,-15.17,-18.63,3.05,4.6,50.83,122.83,2.79,1
49.79,34.52,1.11,2.27,12972.62,0.82,-16.64,-19.55,2.93,1.43,70.8,53.91,3.16,1
49.41,36.8,1.3,2.13,8963.88,0.9,-20.02,-5.38,1.82,5.61,85.59,49.35,1.73,1
46.58,38.04,1.31,1.89,4275.69,1.16,-15.05,-15.28,3.29,4.19,72.27,157.57,2.61,1
42.39,32.31,0.87,2.45,3503.42,0.98,-18.05,-17.46,2.74,-0.24,72.15,128.39,2.24,1
44.92,31.59,0.88,2.06,4302.83,1.16,-9.46,-3.16,3.3,1.09,78.72,64.12,2.81,1
44.53,39.37,0.91,1.96,10647.64,0.63,-20.93,-24.96,3.1,3.33,30.47,75.83,2.29,1
48.12,30.09,1.59,1.52,10290.85,1.12,-8.37,-18.17,3.47,1.75,59.99,83.59,3.64,1
49.72,30.38,1.42,2.1,10943.04,1.02,-20.39,-4.88,2.5,-0.91,78.41,67.74,3.73,1
43.68,37.88,0.82,1.62,14198.37,0.72,-5.09,-11.2,1.27,5.38,43.71,127.44,2.81,1
42.96,30.48,0.98,2.22,12599.51,0.86,-23.84,-7.36,3.48,1.13,44.87,127.77,2.92,1
48.4,38.71,1.06,2.18,5525.16,0.83,-9.94,-21.38,1.73,-0.5,86.37,156.0,3.4,1
48.29,31.71,0.95,1.55,3350.42,1.08,-9.59,-13.03,3.53,0.06,89.11,126.65,3.54,1
49.06,31.01,1.3,1.68,14079.82,1.0,-16.9,-4.03,1.17,3.27,51.24,134.85,3.68,1
41.39,38.64,1.46,1.64,9704.7,0.11,-7.76,-12.72,3.27,2.43,71.43,151.75,2.75,1
41.23,33.17,1.36,1.62,13686.36,0.17,-9.5,-9.82,2.54,4.34,62.87,123.27,1.59,1
44.17,33.43,1.44,1.99,6784.43,0.25,-19.12,-9.08,1.03,-0.09,81.09,106.16,3.21,1
43.61,39.07,1.24,1.69,3441.13,1.12,-21.9,-10.57,2.23,1.55,73.14,91.64,3.89,1
40.25,39.33,1.13,2.09,10454.69,1.13,-20.6,-8.99,2.52,5.6,34.29,51.2,2.37,1
44.49,32.4,1.0,2.09,11136.17,0.41,-17.28,-3.75,2.04,3.14,57.42,89.77,1.76,1
47.13,33.1,1.56,2.11,3638.76,0.4,-15.09,-24.05,3.69,1.96,61.81,43.27,3.33,1
47.94,32.8,1.13,2.06,7500.97,1.07,-13.48,-4.67,1.0,2.95,41.38,102.6,3.04,1
44.02,31.39,1.09,2.29,9097.26,0.65,-20.84,-17.03,3.25,1.92,40.54,155.06,3.91,1
45.56,34.59,1.1,2.27,10123.82,0.55,-5.44,-16.55,1.56,5.34,54.46,51.41,2.71,1
47.82,37.65,0.83,1.69,11474.7,0.22,-10.33,-10.42,1.99,5.03,85.04,51.41,2.43,1
45.7,35.75,1.2,1.67,8574.91,1.03,-19.86,-16.89,1.92,1.73,66.73,102.67,3.92,1
43.32,37.4,1.06,1.65,9940.33,0.17,-17.54,-19.41,2.0,2.4,62.14,50.12,2.36,1
48.65,33.06,1.42,2.23,5418.6,0.42,-21.84,-11.52,1.75,5.46,42.19,69.46,3.1,1
46.33,33.82,0.93,2.41,3130.39,1.05,-21.67,-3.19,3.73,-0.36,76.06,120.14,1.53,1
44.96,35.74,1.08,1.53,6715.16,0.75,-23.47,-6.76,3.62,2.07,45.47,125.99,3.39,1
40.66,30.85,0.88,2.24,11842.25,0.52,-5.25,-21.44,3.31,1.76,74.56,41.9,3.5,1
41.89,32.25,1.32,2.44,9437.62,0.12,-8.05,-4.98,1.42,1.78,72.85,91.92,1.9,1
44.21,32.69,1.03,1.67,11469.64,0.94,-19.53,-14.22,2.81,2.98,59.99,48.84,2.04,1
42.49,32.96,1.05,2.23,8033.11,0.17,-11.09,-20.02,3.97,-0.84,79.19,101.27,1.76,1
43.86,31.18,1.35,1.68,13925.16,0.9,-10.2,-18.14,3.86,1.89,46.03,118.44,2.12,1
42.49,30.38,1.1,1.7,9017.9,0.42,-14.31,-11.64,3.36,3.31,54.33,121.77,2.75,1
41.62,30.25,0.98,2.28,13373.29,0.32,-22.31,-16.31,3.43,3.06,76.93,48.44,1.77,1
48.92,33.25,1.47,1.79,13916.77,0.86,-7.82,-24.64,3.2,-0.77,52.23,69.14,3.62,1
45.22,34.3,1.4,2.21,4705.84,0.43,-10.51,-11.3,1.83,2.08,87.89,139.89,2.29,0
48.29,31.71,0.95,1.55,3350.42,1.08,-9.59,-13.03,3.53,0.06,89.11,126.65,3.54,1
44.16,30.48,0.98,1.97,5970.11,0.82,-18.43,-8.2,3.93,0.82,87.45,139.02,1.75,1
40.69,30.85,1.38,2.4,13505.45,1.02,-18.5,-10.72,1.96,0.7,57.88,72.44,2.23,1
46.42,31.39,1.14,2.46,4586.71,1.13,-17.81,-12.0,3.44,-0.35,36.74,97.4,3.69,1
49.62,31.6,1.45,2.11,14160.34,1.17,-14.47,-5.29,1.5,3.54,85.82,65.49,1.67,1
46.33,30.83,1.38,2.49,7821.8,0.85,-18.68,-20.3,3.15,-0.98,79.36,103.4,3.45,1
42.43,36.4,0.82,1.9,3700.95,1.14,-8.51,-3.64,3.44,3.39,56.73,93.68,2.18,1
47.45,33.48,1.02,2.47,7182.41,1.2,-7.95,-20.25,3.48,5.89,46.61,119.73,3.29,1
48.12,30.09,1.59,1.52,10290.85,1.12,-8.37,-18.17,3.47,1.75,59.99,83.59,3.64,1
44.91,38.73,1.02,2.47,14555.83,0.52,-21.91,-22.25,1.21,-0.7,82.1,83.69,2.87,1
41.12,36.79,1.58,1.91,3395.15,0.7,-12.25,-17.2,3.7,5.65,58.22,100.47,2.13,1
45.45,38.88,1.45,1.65,3111.05,0.53,-17.7,-24.38,3.43,2.61,88.56,140.02,1.99,1
43.32,37.4,1.06,1.65,9940.33,0.17,-17.54,-19.41,2.0,2.4,62.14,50.12,2.36,1
43.94,39.34,1.17,1.75,13485.12,1.2,-21.89,-5.81,2.47,0.79,78.73,105.93,2.84,1
44.23,36.67,1.44,1.53,5284.39,0.11,-10.4,-5.17,1.33,5.6,87.5,106.12,3.49,1
41.74,35.91,1.08,1.87,11525.27,1.17,-9.2,-20.83,3.85,1.16,79.0,61.34,1.5,1
42.82,31.52,1.27,1.72,4254.71,1.09,-19.62,-11.23,1.39,0.99,38.31,73.13,2.18,1
41.54,38.51,1.48,1.61,13165.43,1.05,-15.31,-21.16,2.49,-0.83,76.21,63.17,1.83,1
47.82,37.65,0.83,1.69,11474.7,0.22,-10.33,-10.42,1.99,5.03,85.04,51.41,2.43,1
47.77,35.55,1.46,2.07,9609.98,0.15,-18.43,-13.64,1.53,-0.59,88.97,67.53,2.22,1
42.78,37.69,1.47,1.84,10217.97,1.13,-7.44,-20.01,2.71,-0.91,88.05,134.67,2.77,1
49.15,35.86,1.12,1.75,8995.82,0.15,-11.87,-17.49,3.64,5.35,33.67,84.64,3.45,1
46.38,30.37,1.59,2.31,7951.19,0.69,-19.66,-14.63,3.06,5.08,87.36,119.64,2.37,1
42.46,36.62,1.36,2.1,4896.75,0.76,-12.78,-5.37,1.54,5.09,49.58,104.65,3.92,1
48.46,38.97,1.37,2.37,12234.52,0.32,-12.17,-12.97,3.18,2.15,76.34,82.45,3.92,1
45.81,35.68,1.02,1.96,8345.62,1.1,-18.38,-5.45,3.76,-0.16,85.56,110.99,1.87,1
46.13,30.11,1.17,1.76,7754.73,0.55,-16.45,-22.97,2.59,0.85,84.77,51.19,1.9,1
47.61,32.83,1.26,2.38,3855.61,1.01,-10.97,-6.8,3.67,4.21,69.96,51.37,3.28,1
41.22,36.59,0.96,2.17,6426.15,0.43,-20.56,-22.94,2.83,3.91,31.02,116.08,1.55,1
41.59,39.88,0.89,2.05,7528.19,0.96,-24.31,-20.09,1.19,0.8,59.08,42.32,3.66,1
45.88,31.05,1.53,1.53,3855.62,0.87,-9.3,-4.46,2.27,5.59,60.15,50.93,3.98,1
49.75,36.72,1.24,1.91,10387.43,0.53,-10.64,-19.2,2.0,3.61,64.79,116.88,2.39,0
48.16,33.12,1.02,1.74,14596.8,0.18,-14.73,-22.3,2.43,0.51,46.44,112.28,1.71,1
45.71,35.67,0.89,2.35,11805.84,0.69,-16.1,-9.1,1.42,4.79,72.99,131.66,1.88,1
41.63,39.03,1.22,2.29,3699.26,0.74,-21.61,-14.36,1.87,2.84,37.06,109.98,1.7,1
47.84,38.87,0.81,1.71,14002.63,0.19,-15.8,-3.96,2.93,-0.26,69.15,107.62,3.85,1
44.58,35.25,1.58,1.81,10891.7,1.02,-13.71,-20.1,1.83,-0.08,73.92,99.44,3.16,1
43.16,33.84,1.12,1.98,8110.46,0.18,-20.61,-10.83,3.49,2.58,38.89,48.46,3.82,1
45.58,39.28,1.59,2.11,9028.17,1.18,-24.34,-21.38,3.11,1.2,59.86,114.75,2.33,1
41.62,36.25,1.34,2.08,11733.05,0.67,-5.91,-10.7,2.88,-0.91,38.61,112.13,2.63,1
43.79,34.4,1.1,2.21,12290.1,0.9,-19.79,-13.12,3.54,1.37,47.43,128.04,3.18,1
40.72,33.85,1.52,1.61,13457.54,0.94,-19.01,-18.35,1.36,4.05,55.46,129.48,2.64,1
48.16,35.65,1.56,1.86,10508.56,0.46,-9.34,-11.78,3.96,-0.99,38.45,45.23,1.66,1
42.84,36.53,1.28,2.43,14626.43,0.67,-23.25,-18.4,2.55,3.71,86.77,58.61,2.92,1
49.54,31.29,1.24,1.99,14058.91,0.99,-18.04,-5.05,1.21,0.54,75.81,108.13,3.26,1
41.32,31.27,1.52,1.91,14789.13,0.79,-21.51,-22.15,2.26,5.6,75.89,64.96,3.98,1
