Cell_ID,Batch_ID,Production_Line,Shift,Supplier,Ambient_Temp_C,Anode_Overhang_mm,Electrolyte_Volume_ml,Internal_Resistance_mOhm,Capacity_mAh,Retention_50Cycle_Pct,Defect_Type,Inspector_Comment,QC_Grade
CELL-011286,BTH-0032,Line_3,Night,LithioMat,21.65,0.171,14.99,13.96,5010.0,98.32,None,,Grade A
CELL-008341,BTH-0032,Line_1,Evening,VoltIndustries,25.85,0.137,14.76,16.69,4694.0,92.69,Critical Resistance,Laser alignment recalibrated mid-batch.,Scrap
CELL-007018,BTH-0032,Line_1,Morning,ChemCorp,23.34,0.165,15.01,14.05,4968.0,98.4,None,,Grade A
CELL-017327,BTH-0032,Line_2,Evening,LithioMat,25.21,0.175,14.99,13.82,4956.0,98.0,None,,Grade A
CELL-002332,BTH-0033,Line_1,Morning,LithioMat,22.82,0.13,14.99,14.05,5004.0,97.0,None,,Grade A
CELL-005864,BTH-0033,Line_1,Night,VoltIndustries,20.66,0.136,15.06,15.36,5035.0,96.97,High Internal Resistance,,Grade B
CELL-005261,BTH-0033,Line_1,Morning,ChemCorp,23.53,0.131,15.11,13.78,5027.0,98.39,None,,Grade A
CELL-014847,BTH-0033,Line_2,Morning,LithioMat,24.14,0.155,14.9,14.81,5020.0,96.09,None,,Grade A
CELL-013592,BTH-0033,Line_1,Evening,LithioMat,24.89,0.14,14.92,13.49,4992.0,96.55,None,,Grade A
CELL-014750,BTH-0033,Line_2,Morning,VoltIndustries,20.76,0.155,15.0,15.08,4990.0,97.47,High Internal Resistance,,Grade A
CELL-013212,BTH-0033,Line_3,Evening,LithioMat,27.8,0.159,14.69,15.2,5004.0,96.69,High Internal Resistance,,Grade A
CELL-014808,BTH-0033,Line_2,Night,ChemCorp,19.45,0.141,15.09,14.02,4993.0,98.47,None,,Grade A
CELL-015178,BTH-0033,Line_3,Night,ChemCorp,22.59,0.166,15.04,14.49,5036.0,98.33,None,,Grade A
CELL-017974,BTH-0033,Line_3,Evening,ChemCorp,24.46,0.166,15.15,13.08,5014.0,97.0,None,,Grade A
CELL-013117,BTH-0033,Line_2,Morning,ChemCorp,23.44,0.163,14.86,14.13,5029.0,95.6,None,,Grade A
CELL-016983,BTH-0033,Line_3,Morning,VoltIndustries,23.17,0.133,15.3,13.63,4969.0,97.46,None,,Grade A
CELL-015665,BTH-0033,Line_1,Night,ChemCorp,18.89,0.111,15.06,14.48,5020.0,98.28,None,,Scrap
CELL-017174,BTH-0033,Line_2,Evening,ChemCorp,25.55,0.151,14.73,15.44,4955.0,95.17,High Internal Resistance,,Grade B
CELL-012398,BTH-0033,Line_3,Morning,ChemCorp,25.35,0.119,15.0,14.08,4962.0,96.88,None,,Grade B
CELL-010101,BTH-0033,Line_2,Morning,LithioMat,,0.18,15.07,13.86,5021.0,97.18,None,,Grade A
CELL-000694,BTH-0033,Line_2,Evening,LithioMat,24.01,0.146,14.99,12.98,4997.0,97.44,None,,Grade A
CELL-000158,BTH-0033,Line_2,Evening,ChemCorp,23.59,0.14,14.95,14.17,5008.0,97.45,None,,Grade A
CELL-008401,BTH-0033,Line_1,Evening,ChemCorp,22.53,0.137,15.02,14.05,5018.0,97.86,None,,Grade A
CELL-014781,BTH-0033,Line_2,Morning,VoltIndustries,24.38,0.159,15.2,14.84,5021.0,97.7,None,,Grade A
CELL-000420,BTH-0033,Line_2,Night,ChemCorp,,0.112,15.0,13.69,5058.0,97.41,None,Slight electrolyte spill cleared by tech.,Scrap
CELL-013521,BTH-0033,Line_1,Night,ChemCorp,22.55,0.151,15.12,14.63,4995.0,97.56,None,,Grade A
CELL-016011,BTH-0034,Line_3,Night,VoltIndustries,20.9,0.133,15.19,14.89,4979.0,96.75,None,,Grade A
CELL-019387,BTH-0034,Line_2,Night,LithioMat,20.89,0.13,15.0,13.8,4990.0,96.67,None,,Grade A
CELL-012554,BTH-0034,Line_1,Morning,ChemCorp,25.95,0.152,14.95,12.95,4996.0,99.42,None,Shift handover completed.,Grade A
CELL-004187,BTH-0034,Line_1,Night,VoltIndustries,24.61,0.158,14.92,15.0,4971.0,96.81,High Internal Resistance,,Grade A
CELL-012279,BTH-0034,Line_3,Night,ChemCorp,22.12,0.163,15.05,14.07,5042.0,97.6,None,,Grade A
CELL-016804,BTH-0034,Line_2,Morning,ChemCorp,23.49,0.156,14.81,13.45,4999.0,97.12,None,,Grade A
CELL-017162,BTH-0034,Line_2,Evening,LithioMat,24.69,0.168,15.01,13.95,5007.0,97.62,None,Routine visual inspection passed.,Grade A
CELL-015985,BTH-0034,Line_2,Evening,ChemCorp,24.79,0.16,15.09,15.07,4949.0,97.3,High Internal Resistance,,Grade A
CELL-008810,BTH-0034,Line_1,Morning,ChemCorp,25.82,0.154,14.79,15.86,4840.0,93.27,High Internal Resistance,,Grade B
CELL-003428,BTH-0034,Line_1,Morning,ChemCorp,24.42,0.154,15.15,13.94,4967.0,97.2,None,,Grade A
CELL-012689,BTH-0034,Line_3,Evening,VoltIndustries,26.22,0.138,14.78,16.6,4805.0,95.03,Critical Resistance,,Scrap
CELL-001171,BTH-0034,Line_1,Evening,ChemCorp,24.61,0.154,15.21,12.55,5018.0,97.93,None,,Grade A
CELL-005508,BTH-0034,Line_2,Night,ChemCorp,22.43,0.169,15.07,13.53,5001.0,96.45,None,,Grade A
CELL-017418,BTH-0034,Line_2,Evening,ChemCorp,23.26,0.185,14.93,13.97,5028.0,95.9,None,,Grade A
CELL-009965,BTH-0034,Line_1,Night,VoltIndustries,19.02,0.125,15.06,15.37,4936.0,96.93,High Internal Resistance,,Grade B
CELL-001819,BTH-0034,Line_2,Morning,ChemCorp,25.72,0.141,14.98,14.65,4944.0,97.33,None,,Grade A
CELL-017633,BTH-0034,Line_2,Night,VoltIndustries,,0.172,14.9,14.94,5004.0,96.73,None,,Grade A
CELL-009777,BTH-0034,Line_3,Night,LithioMat,20.58,0.141,15.09,13.85,5044.0,96.34,None,,Grade A
CELL-009114,BTH-0034,Line_1,Morning,LithioMat,23.12,0.133,14.98,13.83,4999.0,96.01,None,,Grade A
CELL-011808,BTH-0034,Line_2,Night,ChemCorp,21.34,0.145,15.04,13.15,4999.0,97.73,None,,Grade A
CELL-002029,BTH-0034,Line_3,Morning,ChemCorp,22.44,0.161,14.98,14.01,4944.0,96.63,None,,Grade A
CELL-008979,BTH-0034,Line_1,Morning,LithioMat,22.6,0.155,14.9,13.63,5027.0,97.51,None,,Grade A
CELL-016634,BTH-0034,Line_2,Morning,LithioMat,22.91,0.154,15.03,14.4,4981.0,96.96,None,,Grade A
CELL-001048,BTH-0034,Line_1,Evening,ChemCorp,22.09,0.139,15.08,13.96,5018.0,97.47,None,,Grade A
CELL-010271,BTH-0034,Line_1,Morning,ChemCorp,25.39,0.151,14.94,14.25,5004.0,97.7,None,Standard calibration OK.,Grade A
CELL-001119,BTH-0034,Line_3,Evening,LithioMat,23.12,0.173,14.95,13.72,4973.0,98.57,None,,Grade A
CELL-001259,BTH-0034,Line_3,Evening,ChemCorp,,0.168,15.16,13.69,4989.0,98.06,None,,Grade A
CELL-017544,BTH-0034,Line_1,Evening,VoltIndustries,24.62,0.159,14.93,14.74,5009.0,98.0,None,,Grade A
CELL-013208,BTH-0034,Line_2,Morning,ChemCorp,20.15,0.134,14.97,13.73,5009.0,97.08,None,,Grade A
CELL-017901,BTH-0034,Line_2,Evening,LithioMat,22.95,0.145,14.94,14.28,5015.0,97.97,None,,Grade A
CELL-011513,BTH-0034,Line_1,Night,ChemCorp,21.69,0.156,14.94,14.19,5049.0,96.54,None,,Grade A
CELL-019257,BTH-0034,Line_1,Morning,LithioMat,25.38,0.15,15.0,13.5,4950.0,97.8,None,,Grade A
CELL-007794,BTH-0034,Line_2,Evening,ChemCorp,22.2,0.138,15.01,14.06,4983.0,97.15,None,,Grade A
CELL-009442,BTH-0034,Line_1,Evening,VoltIndustries,25.35,0.152,14.93,14.67,5008.0,97.63,None,,Grade A
CELL-015882,BTH-0034,Line_2,Night,ChemCorp,20.88,0.146,15.09,14.37,4993.0,97.31,None,,Grade A
CELL-001394,BTH-0035,Line_2,Evening,LithioMat,22.22,0.15,15.0,13.91,5059.0,96.52,None,,Grade A
CELL-000451,BTH-0035,Line_1,Evening,VoltIndustries,24.47,0.136,15.21,15.39,4942.0,96.72,High Internal Resistance,,Grade B
CELL-015670,BTH-0035,Line_1,Night,LithioMat,18.87,0.155,14.91,13.47,5068.0,95.73,None,,Grade A
CELL-009031,BTH-0035,Line_3,Night,VoltIndustries,,0.128,15.01,15.4,4933.0,97.26,High Internal Resistance,,Grade B
CELL-008497,BTH-0035,Line_3,Evening,LithioMat,23.67,0.136,14.99,13.47,5005.0,95.46,None,,Grade A
CELL-019802,BTH-0035,Line_2,Night,ChemCorp,21.76,0.182,15.14,14.69,4981.0,96.81,None,,Grade A
CELL-002593,BTH-0035,Line_3,Night,ChemCorp,20.5,0.139,15.16,13.97,5001.0,96.46,None,,Grade A
CELL-006216,BTH-0035,Line_1,Evening,ChemCorp,23.89,0.135,14.92,14.14,4969.0,97.25,None,,Grade A
CELL-004899,BTH-0035,Line_2,Morning,ChemCorp,24.36,0.161,14.95,14.11,4968.0,97.68,None,,Grade A
CELL-004933,BTH-0035,Line_1,Evening,ChemCorp,23.99,0.147,15.03,14.56,4986.0,97.04,None,,Grade A
CELL-008950,BTH-0035,Line_1,Morning,ChemCorp,26.64,0.142,14.76,14.9,4990.0,98.63,None,,Grade A
CELL-010689,BTH-0035,Line_2,Night,ChemCorp,,0.148,15.18,14.23,5021.0,97.94,None,,Grade A
CELL-004369,BTH-0035,Line_3,Evening,LithioMat,23.52,0.155,14.95,14.15,5028.0,97.5,None,,Grade A
CELL-015377,BTH-0035,Line_2,Evening,LithioMat,24.84,0.174,14.82,14.08,5049.0,95.99,None,,Grade A
CELL-008270,BTH-0035,Line_2,Evening,ChemCorp,23.02,0.178,15.02,14.0,5064.0,97.32,None,,Grade A
CELL-009767,BTH-0035,Line_1,Night,ChemCorp,,0.114,14.95,13.52,5042.0,95.82,None,,Scrap
CELL-016387,BTH-0035,Line_3,Night,ChemCorp,24.94,0.208,15.04,14.67,5042.0,95.71,None,,Grade A
CELL-011123,BTH-0035,Line_1,Morning,LithioMat,23.28,0.159,15.05,13.38,5007.0,97.62,None,,Grade A
CELL-000717,BTH-0035,Line_1,Night,ChemCorp,23.77,0.123,14.89,13.7,5018.0,96.21,None,,Grade B
CELL-011060,BTH-0035,Line_1,Evening,VoltIndustries,24.79,0.154,14.99,14.17,4989.0,95.5,None,,Grade A
CELL-019444,BTH-0035,Line_1,Morning,VoltIndustries,,0.159,14.97,15.52,4876.0,94.5,High Internal Resistance,,Grade B
CELL-012659,BTH-0035,Line_1,Morning,LithioMat,23.83,0.124,14.92,13.36,4976.0,95.64,None,,Grade B
CELL-004714,BTH-0035,Line_3,Evening,VoltIndustries,26.51,0.156,14.64,17.06,4645.0,94.15,Critical Resistance,,Scrap
CELL-000169,BTH-0035,Line_2,Evening,ChemCorp,22.22,0.135,14.94,13.55,4931.0,96.73,None,,Grade A
CELL-014320,BTH-0035,Line_1,Night,VoltIndustries,21.3,0.182,14.96,15.16,5051.0,96.66,High Internal Resistance,,Grade A
CELL-018806,BTH-0035,Line_1,Morning,ChemCorp,26.33,0.146,14.76,15.74,4869.0,94.11,High Internal Resistance,,Grade B
CELL-010511,BTH-0035,Line_2,Morning,ChemCorp,23.83,0.182,15.0,14.6,4974.0,97.55,None,,Grade A
CELL-002748,BTH-0035,Line_3,Evening,ChemCorp,24.36,0.172,15.11,14.34,4973.0,96.6,None,,Grade A
CELL-015971,BTH-0035,Line_2,Night,ChemCorp,22.99,0.157,14.97,13.37,5031.0,98.55,None,,Grade A
CELL-008626,BTH-0035,Line_1,Morning,ChemCorp,24.35,0.14,15.02,14.11,5037.0,97.73,None,,Grade A
CELL-008778,BTH-0035,Line_1,Night,LithioMat,23.75,0.148,14.93,13.85,5044.0,97.47,None,,Grade A
CELL-015246,BTH-0035,Line_1,Morning,ChemCorp,26.81,0.136,14.88,13.98,4979.0,95.61,None,,Grade A
CELL-009437,BTH-0035,Line_1,Night,ChemCorp,19.46,0.145,14.99,14.51,5029.0,95.4,None,,Grade A
CELL-018583,BTH-0035,Line_1,Morning,LithioMat,22.87,0.109,15.0,13.25,4977.0,96.07,None,,Scrap
CELL-000974,BTH-0035,Line_2,Night,LithioMat,23.19,0.175,14.91,14.01,5022.0,96.69,None,,Grade A
CELL-003838,BTH-0035,Line_2,Night,LithioMat,18.99,0.149,14.76,15.83,4817.0,92.26,High Internal Resistance,,Grade B
CELL-016014,BTH-0035,Line_2,Evening,ChemCorp,23.77,0.148,14.75,16.3,4756.0,93.56,High Internal Resistance,,Scrap
CELL-018890,BTH-0035,Line_1,Night,LithioMat,20.16,0.155,15.0,13.81,4971.0,95.5,None,,Grade A
CELL-000081,BTH-0035,Line_1,Morning,LithioMat,23.53,0.126,15.02,13.95,4975.0,96.08,None,,Grade A
CELL-013122,BTH-0035,Line_3,Night,ChemCorp,22.01,0.18,14.94,14.13,5023.0,96.43,None,,Grade A
CELL-004350,BTH-0035,Line_3,Evening,VoltIndustries,22.13,0.153,15.11,14.98,4977.0,96.62,None,,Grade A
CELL-018014,BTH-0035,Line_3,Morning,ChemCorp,22.89,0.126,15.07,13.62,4997.0,96.37,None,,Grade A
CELL-016874,BTH-0035,Line_3,Evening,LithioMat,22.24,0.171,15.02,14.67,4988.0,96.0,None,,Grade A
CELL-004270,BTH-0035,Line_2,Night,ChemCorp,22.95,0.135,14.94,13.82,4990.0,96.91,None,,Grade A
CELL-001883,BTH-0036,Line_2,Evening,LithioMat,27.34,0.15,14.74,15.05,4990.0,96.35,High Internal Resistance,,Grade A
CELL-019494,BTH-0036,Line_3,Night,ChemCorp,22.82,0.153,15.11,13.5,5063.0,96.14,None,,Grade A
CELL-000751,BTH-0036,Line_3,Morning,VoltIndustries,,0.147,15.11,15.24,4946.0,96.73,High Internal Resistance,,Grade B
CELL-000206,BTH-0036,Line_2,Night,LithioMat,21.37,0.156,15.18,14.23,4971.0,97.22,None,,Grade A
CELL-002997,BTH-0036,Line_3,Night,ChemCorp,23.47,0.185,14.99,13.34,5024.0,97.71,None,,Grade A
CELL-015437,BTH-0036,Line_1,Morning,ChemCorp,25.72,0.154,14.61,15.8,4870.0,95.03,High Internal Resistance,,Grade B
CELL-011127,BTH-0036,Line_2,Night,ChemCorp,21.94,0.144,15.02,14.33,5001.0,96.52,None,,Grade A
CELL-013174,BTH-0036,Line_3,Evening,LithioMat,22.24,0.136,15.05,13.72,5025.0,97.71,None,,Grade A
CELL-018099,BTH-0036,Line_3,Night,ChemCorp,20.41,0.139,15.0,14.31,5002.0,96.78,None,,Grade A
CELL-012893,BTH-0036,Line_1,Morning,ChemCorp,25.35,0.184,14.97,14.16,4991.0,98.6,None,,Grade A
CELL-018127,BTH-0036,Line_2,Morning,VoltIndustries,27.3,0.128,14.79,16.98,4716.0,93.0,Critical Resistance,,Scrap
CELL-001747,BTH-0036,Line_1,Night,LithioMat,20.59,0.144,14.97,14.04,4999.0,97.64,None,,Grade A
CELL-001304,BTH-0036,Line_1,Night,ChemCorp,19.47,0.159,14.92,13.0,4989.0,98.18,None,,Grade A
CELL-005475,BTH-0036,Line_1,Evening,VoltIndustries,22.72,0.14,15.02,14.69,5022.0,97.12,None,,Grade A
CELL-006200,BTH-0036,Line_1,Night,ChemCorp,23.43,0.182,15.09,13.73,4973.0,96.49,None,,Grade A
CELL-019861,BTH-0036,Line_2,Night,ChemCorp,23.43,0.127,14.9,14.3,4962.0,97.19,None,,Grade A
CELL-018942,BTH-0036,Line_1,Evening,LithioMat,22.28,0.18,14.99,13.1,4984.0,96.44,None,,Grade A
CELL-003103,BTH-0036,Line_2,Night,VoltIndustries,22.65,0.172,14.99,14.4,4945.0,96.51,None,,Grade A
CELL-009417,BTH-0036,Line_1,Night,ChemCorp,21.03,0.158,14.88,13.92,5035.0,95.85,None,,Grade A
CELL-006876,BTH-0036,Line_1,Night,VoltIndustries,24.72,0.13,14.98,15.18,4986.0,96.55,High Internal Resistance,,Grade A
CELL-008980,BTH-0036,Line_3,Morning,LithioMat,25.18,0.178,15.01,14.01,4996.0,97.73,None,,Grade A
CELL-018447,BTH-0036,Line_3,Evening,VoltIndustries,22.9,0.217,15.09,14.95,4995.0,95.97,None,,Grade A
CELL-018835,BTH-0036,Line_1,Night,LithioMat,21.24,0.182,15.08,13.26,4986.0,97.11,None,Standard calibration OK.,Grade A
CELL-000526,BTH-0036,Line_1,Morning,LithioMat,,0.117,14.91,13.62,4982.0,97.18,None,,Grade B
CELL-010422,BTH-0036,Line_1,Night,VoltIndustries,20.85,0.162,14.92,14.46,4997.0,98.16,None,,Grade A
CELL-019970,BTH-0036,Line_2,Evening,ChemCorp,23.34,0.161,15.22,14.64,4997.0,97.44,None,,Grade A
CELL-003153,BTH-0036,Line_2,Evening,ChemCorp,22.99,0.156,14.94,14.14,4993.0,95.71,None,,Grade A
CELL-003877,BTH-0036,Line_1,Night,ChemCorp,20.76,0.127,15.06,14.1,5015.0,96.45,None,,Grade A
CELL-008003,BTH-0036,Line_3,Evening,ChemCorp,28.34,0.133,14.81,14.15,4951.0,97.67,None,,Grade A
CELL-019496,BTH-0037,Line_2,Evening,ChemCorp,25.27,0.129,14.9,14.59,4978.0,98.0,None,,Grade A
CELL-006109,BTH-0037,Line_3,Evening,VoltIndustries,25.29,0.19,14.94,14.32,4935.0,96.13,None,,Grade A
CELL-006127,BTH-0037,Line_2,Night,LithioMat,21.35,0.175,14.76,15.69,4929.0,93.24,High Internal Resistance,,Grade B
CELL-002584,BTH-0037,Line_3,Night,ChemCorp,21.42,0.156,15.02,13.65,4927.0,97.53,None,,Grade A
CELL-014728,BTH-0037,Line_2,Night,VoltIndustries,21.8,0.155,14.98,14.26,4999.0,96.84,None,,Grade A
CELL-016153,BTH-0037,Line_3,Night,ChemCorp,19.96,0.12,14.86,13.79,4942.0,98.17,None,,Grade B
CELL-016375,BTH-0037,Line_3,Night,ChemCorp,21.21,0.143,15.05,13.2,5008.0,94.98,Poor Retention,,Grade A
CELL-010963,BTH-0037,Line_2,Evening,ChemCorp,22.94,0.119,14.91,13.62,5046.0,98.45,None,,Grade B
CELL-000760,BTH-0037,Line_3,Night,VoltIndustries,21.65,0.136,14.99,14.08,5092.0,98.52,None,,Grade A
CELL-013847,BTH-0037,Line_1,Evening,LithioMat,23.38,0.165,15.2,13.47,5000.0,96.71,None,,Grade A
CELL-007357,BTH-0037,Line_2,Morning,ChemCorp,23.8,0.167,15.09,13.5,5020.0,97.16,None,,Grade A
CELL-008660,BTH-0037,Line_2,Night,ChemCorp,22.65,0.142,15.19,14.31,5011.0,96.36,None,,Grade A
CELL-018025,BTH-0037,Line_2,Morning,ChemCorp,22.54,0.158,15.09,13.82,4904.0,97.23,None,,Grade A
CELL-013107,BTH-0037,Line_2,Evening,ChemCorp,24.46,0.148,15.04,14.3,4991.0,97.67,None,,Grade A
CELL-004919,BTH-0037,Line_1,Evening,LithioMat,21.36,0.141,15.09,13.79,4987.0,96.26,None,,Grade A
CELL-013083,BTH-0037,Line_2,Evening,ChemCorp,24.63,0.145,14.93,14.5,5023.0,95.56,None,,Grade A
CELL-019229,BTH-0037,Line_3,Evening,ChemCorp,,0.166,14.77,15.27,4948.0,96.5,High Internal Resistance,,Grade B
CELL-014317,BTH-0037,Line_2,Night,LithioMat,22.99,0.16,14.88,13.18,4967.0,95.92,None,,Grade A
CELL-004710,BTH-0037,Line_2,Night,ChemCorp,19.51,0.176,15.12,13.99,5000.0,95.97,None,,Grade A
CELL-004475,BTH-0037,Line_2,Morning,ChemCorp,20.96,0.164,14.85,14.29,5018.0,96.2,None,,Grade A
CELL-010251,BTH-0037,Line_1,Evening,VoltIndustries,24.99,0.144,14.95,15.05,5006.0,96.65,High Internal Resistance,,Grade A
CELL-017243,BTH-0037,Line_1,Evening,ChemCorp,24.34,0.103,15.07,13.47,4994.0,97.87,Poor Retention,,Scrap
CELL-002193,BTH-0037,Line_3,Night,LithioMat,24.43,0.117,15.11,14.12,4935.0,96.48,None,,Grade B
CELL-000465,BTH-0037,Line_3,Morning,LithioMat,23.56,0.14,15.09,14.23,5027.0,96.62,None,,Grade A
CELL-012436,BTH-0037,Line_2,Morning,VoltIndustries,22.7,0.144,14.95,14.68,4991.0,98.08,None,,Grade A
CELL-016602,BTH-0037,Line_2,Night,ChemCorp,23.84,0.115,14.98,14.38,5006.0,97.81,None,,Grade B
CELL-000366,BTH-0037,Line_1,Morning,ChemCorp,,0.146,15.02,13.87,4938.0,97.6,None,,Grade A
CELL-004922,BTH-0037,Line_2,Morning,VoltIndustries,25.42,0.164,15.04,14.74,4972.0,98.41,None,,Grade A
CELL-008885,BTH-0037,Line_1,Night,VoltIndustries,21.28,0.164,15.08,16.21,4846.0,92.75,High Internal Resistance,Operator noted irregular machine vibration.,Scrap
CELL-019227,BTH-0037,Line_2,Evening,ChemCorp,24.06,0.129,15.21,15.08,5005.0,97.75,High Internal Resistance,,Grade A
CELL-011900,BTH-0037,Line_1,Morning,ChemCorp,23.77,0.14,14.88,14.14,4967.0,97.25,None,,Grade A
CELL-002295,BTH-0037,Line_1,Night,LithioMat,21.41,0.173,15.01,14.24,5012.0,98.87,None,,Grade A
CELL-013406,BTH-0038,Line_2,Night,VoltIndustries,22.84,0.146,15.22,14.93,5001.0,97.03,None,,Grade A
CELL-009129,BTH-0038,Line_2,Morning,ChemCorp,23.26,0.138,15.21,14.11,5034.0,97.36,None,,Grade A
CELL-016380,BTH-0038,Line_3,Evening,VoltIndustries,23.58,0.141,15.06,14.56,5003.0,96.28,None,,Grade A
CELL-014049,BTH-0038,Line_2,Evening,LithioMat,22.3,0.151,15.24,13.19,5010.0,97.07,None,,Grade A
CELL-004395,BTH-0038,Line_1,Morning,ChemCorp,22.2,0.113,14.85,13.9,5032.0,96.48,None,,Scrap
CELL-006957,BTH-0038,Line_1,Morning,LithioMat,23.11,0.118,14.9,14.98,4993.0,96.2,None,,Grade B
CELL-018989,BTH-0038,Line_1,Night,ChemCorp,23.36,0.17,14.87,14.36,4954.0,97.23,None,,Grade A
CELL-001518,BTH-0038,Line_1,Morning,VoltIndustries,,0.121,14.99,14.46,5030.0,96.51,None,,Grade B
CELL-006605,BTH-0038,Line_3,Morning,ChemCorp,22.76,0.18,14.98,13.03,5035.0,97.21,None,,Grade A
CELL-007195,BTH-0038,Line_2,Morning,LithioMat,23.92,0.141,14.92,14.52,4989.0,97.66,None,,Grade A
CELL-012473,BTH-0038,Line_2,Night,ChemCorp,19.83,0.174,15.1,13.88,5048.0,98.12,None,,Grade A
CELL-012272,BTH-0038,Line_2,Night,LithioMat,21.05,0.185,15.01,14.15,5034.0,98.45,None,,Grade A
CELL-015492,BTH-0038,Line_1,Morning,LithioMat,22.72,0.14,15.14,12.48,4999.0,96.36,None,,Grade A
CELL-003734,BTH-0038,Line_1,Evening,VoltIndustries,26.08,0.128,14.95,14.65,4971.0,98.13,None,,Grade A
CELL-004265,BTH-0038,Line_1,Morning,ChemCorp,22.97,0.182,14.83,13.96,5007.0,96.92,None,Routine visual inspection passed.,Grade A
CELL-006158,BTH-0038,Line_2,Evening,LithioMat,23.49,0.176,15.02,14.62,5041.0,96.28,None,,Grade A
CELL-011667,BTH-0038,Line_3,Evening,ChemCorp,26.06,0.14,14.84,14.86,4994.0,96.03,None,,Grade A
CELL-015048,BTH-0038,Line_1,Night,VoltIndustries,19.98,0.126,15.07,14.98,4990.0,96.73,None,,Grade A
CELL-006079,BTH-0038,Line_3,Night,LithioMat,20.97,0.123,15.03,13.99,4979.0,96.87,None,,Grade B
CELL-001376,BTH-0038,Line_2,Evening,LithioMat,22.54,0.16,14.98,14.4,4961.0,96.99,None,,Grade A
CELL-018091,BTH-0038,Line_1,Evening,LithioMat,22.73,0.144,15.06,13.9,4947.0,96.21,None,Shift handover completed.,Grade A
CELL-007810,BTH-0038,Line_1,Night,ChemCorp,21.55,0.158,15.08,14.13,5061.0,96.24,None,,Grade A
CELL-001467,BTH-0038,Line_3,Morning,LithioMat,21.64,0.14,14.97,13.56,5015.0,96.65,None,,Grade A
CELL-002185,BTH-0038,Line_1,Evening,LithioMat,22.84,0.133,15.01,14.01,5072.0,96.51,None,,Grade A
CELL-014817,BTH-0038,Line_2,Morning,ChemCorp,24.08,0.127,15.09,14.52,5030.0,96.1,None,,Grade A
CELL-015409,BTH-0038,Line_1,Night,ChemCorp,23.2,0.193,15.02,14.52,5022.0,96.52,None,,Grade A
CELL-014827,BTH-0038,Line_1,Morning,ChemCorp,21.67,0.136,14.92,14.58,5008.0,97.79,None,,Grade A
CELL-001346,BTH-0038,Line_2,Night,ChemCorp,21.78,0.159,15.02,14.36,4974.0,96.84,None,,Grade A
CELL-010503,BTH-0038,Line_3,Evening,ChemCorp,23.58,0.18,14.95,13.89,4981.0,97.77,None,,Grade A
CELL-016647,BTH-0038,Line_2,Evening,ChemCorp,23.73,0.143,14.99,14.61,5010.0,98.15,None,,Grade A
CELL-014179,BTH-0038,Line_3,Morning,ChemCorp,24.32,0.161,15.08,13.65,4973.0,99.07,None,,Grade A
CELL-005661,BTH-0038,Line_2,Night,ChemCorp,19.08,0.16,14.93,13.53,5057.0,96.48,None,,Grade A
CELL-008758,BTH-0038,Line_1,Evening,VoltIndustries,21.97,0.138,15.08,14.16,4966.0,96.11,None,,Grade A
CELL-003522,BTH-0038,Line_3,Evening,LithioMat,22.35,0.155,15.12,13.35,4963.0,97.01,None,,Grade A
CELL-019526,BTH-0038,Line_2,Morning,VoltIndustries,24.32,0.174,15.0,14.99,4950.0,95.94,None,Shift handover completed.,Grade A
CELL-000430,BTH-0038,Line_3,Evening,LithioMat,,0.149,14.87,14.74,4981.0,96.37,None,,Grade A
CELL-014019,BTH-0038,Line_3,Morning,ChemCorp,24.81,0.124,15.0,13.83,5031.0,97.65,None,,Grade B
CELL-003201,BTH-0038,Line_1,Evening,LithioMat,22.44,0.163,14.97,13.02,4942.0,97.97,None,,Grade A
CELL-013669,BTH-0038,Line_2,Night,VoltIndustries,20.33,0.173,14.96,14.51,4983.0,96.3,None,,Grade A
CELL-010803,BTH-0038,Line_1,Morning,LithioMat,22.0,0.148,14.95,14.06,5017.0,96.44,None,,Grade A
CELL-018043,BTH-0038,Line_2,Morning,ChemCorp,24.72,0.141,15.05,14.39,4987.0,96.65,None,,Grade A
CELL-019583,BTH-0039,Line_2,Morning,LithioMat,22.3,0.107,14.86,13.65,5023.0,95.97,Poor Retention,,Scrap
CELL-012542,BTH-0039,Line_1,Night,LithioMat,25.1,0.159,14.95,14.56,4955.0,96.48,None,,Grade A
CELL-006217,BTH-0039,Line_1,Night,ChemCorp,20.21,0.137,15.05,13.46,4968.0,96.69,None,,Grade A
CELL-009879,BTH-0039,Line_3,Night,LithioMat,21.48,0.141,14.97,13.61,4995.0,96.52,None,,Grade A
CELL-006869,BTH-0039,Line_1,Evening,VoltIndustries,21.13,0.158,15.06,14.95,4952.0,96.35,None,,Grade A
CELL-011097,BTH-0039,Line_2,Evening,LithioMat,25.28,0.172,14.99,14.23,4991.0,97.61,None,,Grade A
CELL-000513,BTH-0039,Line_2,Night,VoltIndustries,20.46,0.163,15.06,15.07,4965.0,96.75,High Internal Resistance,,Grade A
CELL-019849,BTH-0039,Line_3,Evening,ChemCorp,24.46,0.157,14.9,13.34,5012.0,97.38,None,,Grade A
CELL-006049,BTH-0039,Line_1,Night,LithioMat,22.59,0.163,15.11,13.85,4955.0,96.52,None,,Grade A
CELL-004247,BTH-0039,Line_2,Morning,VoltIndustries,23.78,0.172,14.89,15.28,4942.0,96.77,High Internal Resistance,,Grade B
