Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
297.8,307.4,1355,45.8,60
297.8,307.6,1607,30.3,62
297.9,307.6,1609,30.3,64
297.9,307.7,1517,44.4,67
297.9,307.7,1517,39.5,69
297.9,307.7,1546,37.6,72
297.9,307.7,1567,34.7,74
298.1,307.9,1662,28.9,76
298.1,307.9,1502,41.8,79
298.3,308,1361,56.9,81
298.3,308.1,1630,32.7,83
298.3,308,1486,42.3,86
298.3,308.1,1840,21.5,88
298.3,308.1,1326,58.4,90
298.4,308.1,1367,57.8,92
298.4,308.1,1598,32.7,94
298.3,308,1363,50.1,96
298.3,308,1242,62,98
298.2,307.8,1566,33.8,100
298.1,307.7,1424,47.7,103
298.2,307.7,1608,33.8,106
298.1,307.7,1705,29.1,109
298,307.6,1548,45.8,111
298,307.6,1581,43.4,113
298,307.6,1472,46.7,116
298,307.6,1792,26,119
298,307.6,1683,32.8,122
297.9,307.6,1503,40.7,124
297.9,307.5,1642,32.4,126
297.8,307.4,1902,24.3,129
297.7,307.4,1432,40.2,132
297.8,307.4,1512,40.8,137
297.7,307.4,1764,29,139
297.8,307.4,1438,43.6,141
297.8,307.5,1631,29.9,144
297.9,307.5,1880,23.3,146
297.9,307.6,1344,54.3,151
297.9,307.5,1574,35.8,153
297.8,307.4,1418,41.2,155
297.8,307.5,1372,54.1,157
297.8,307.5,1388,40,159
297.9,307.6,1493,36,161
297.9,307.6,1505,40.1,166
298,307.6,1694,29.1,169
297.9,307.6,1968,20.4,171
298,307.6,1569,35.6,173
297.9,307.6,1687,29.1,176
297.9,307.6,1430,52.4,178
297.9,307.6,1504,42.4,180
297.9,307.6,1977,20.2,182
298,307.7,1435,45.6,184
298,307.7,1547,36.8,186
298.1,307.8,1316,57.2,191
298,307.7,1621,34.9,194
298,307.8,1492,40.2,197
298,307.7,1643,32.3,200
298,307.7,1492,38.7,202
298,307.7,1387,50.8,204
298.1,307.9,1463,47.3,206
298.1,307.9,1496,40,0
298.2,308,1658,30,3
298.1,307.9,2161,17.5,5
298.1,307.9,1665,32,7
298,307.8,1716,26.6,9
298,307.7,1529,34.1,11
297.9,307.7,1353,50.7,13
297.9,307.7,1537,37.7,15
298,307.7,1606,30.8,17
298,307.8,1314,47.8,19
298,307.8,1623,29.9,24
298,307.8,1483,50.9,26
298.1,307.9,1569,37,29
298.2,308,1969,21.7,32
298.1,308,1686,29.3,35
298.1,308,1638,35.1,38
298.1,307.9,1698,33.3,40
298.1,307.9,1377,55.1,42
298.1,308,2129,18.4,45
298.2,308,1411,42.4,48
298.1,307.9,1517,40.8,50
298.1,307.9,1303,53.9,52
298.1,307.9,1578,35.6,55
298.1,307.9,1425,58.2,57
298.1,308,1456,42.4,59
298.1,308,1704,30.9,61
298.1,308.1,1791,27.3,63
298.1,308.1,1616,32.8,65
298.2,308.1,1622,34.9,67
298.2,308.1,1462,49.9,69
298.1,308.1,1410,45.8,71
298.1,308,1543,41.9,73
298,307.9,1479,47.6,76
298,307.8,1839,22.7,79
298,307.8,1266,60.5,81
297.9,307.7,1593,34.9,83
297.9,307.8,1459,46.9,85
297.9,307.7,1308,55.2,87
297.9,307.7,1364,46.8,89
297.9,307.7,1618,35.9,92
297.9,307.7,1464,43.2,97
297.8,307.6,1352,49.4,102
297.8,307.6,1446,51.4,105
297.8,307.5,1448,51.2,107
297.8,307.5,1391,48.6,109
297.7,307.5,1379,43.3,111
297.8,307.5,1405,46.9,113
297.8,307.5,1581,33.1,116
297.9,307.6,1515,40.5,118
297.9,307.6,1589,37.8,120
298,307.6,1281,50.8,122
297.8,307.5,1631,31.3,124
297.9,307.6,1202,67,129
297.9,307.6,1298,52.7,132
297.9,307.6,1612,30.7,134
297.9,307.6,1747,25.3,136
298,307.6,1450,48.7,138
298,307.7,1422,45.6,140
298.1,307.7,1419,47.4,142
298.1,307.7,1633,30.7,145
298,307.7,1442,43.6,148
298,307.6,1420,45.8,150
298,307.6,1301,58.5,155
298,307.6,1385,45,158
298,307.7,1487,41.3,160
298,307.6,1459,44.4,163
298,307.5,1387,45.5,166
298.1,307.7,1537,40.8,169
298.1,307.6,1498,42.9,171
298.2,307.8,1599,31.2,173
298.3,307.9,1420,39.2,176
298.2,307.9,1785,23.4,181
298.2,307.8,1423,48.1,183
298.2,307.8,1583,36.6,185
298.2,307.8,1375,46.6,188
298.3,308,1463,42.5,190
298.2,307.9,1403,45.1,193
298.3,308,1451,47.1,196
298.4,308,1416,38.2,198
298.3,308.1,1672,41.3,0
298.3,308,1637,30.8,2
298.4,308,1540,37.8,7
298.4,308.1,1279,53.1,9
298.4,308.2,1604,34.9,11
298.5,308.2,1654,27.1,13
298.5,308.2,1564,37.5,15
298.5,308.2,1451,47.5,18
298.5,308.3,1504,38,20
298.5,308.3,1381,50.5,22
298.6,308.4,1562,34.4,25
298.5,308.3,1811,24.7,27
298.6,308.3,1717,28.7,29
298.6,308.3,1278,60.5,32
298.7,308.5,1616,30.2,34
298.6,308.4,1397,46.4,36
298.6,308.4,1485,42.9,38
298.6,308.4,1310,59.7,40
298.5,308.2,1301,66.3,42
298.5,308.3,1458,44,44
298.7,308.5,1483,42.5,46
298.7,308.5,1375,46.4,48
298.7,308.5,1660,27,50
298.7,308.4,1560,33.3,53
298.7,308.5,1480,42.2,58
298.7,308.4,1373,46.9,60
298.7,308.5,1444,54.2,62
298.7,308.6,1722,24.7,64
298.7,308.5,1469,39.9,67
298.7,308.5,1360,52.9,69
298.7,308.4,1750,25.8,72
298.7,308.3,1349,46.6,74
298.7,308.5,1668,35.2,77
298.9,308.6,1400,49.5,79
298.8,308.6,1331,62.8,81
298.8,308.5,1444,42.2,83
298.8,308.5,1359,47.6,85
298.8,308.5,1425,47.4,90
298.9,308.6,1469,34.2,93
299,308.7,1892,22.8,96
299,308.7,1940,19.9,98
299,308.8,1405,55.2,103
299,308.9,1449,39.6,105
299.1,308.9,1686,29.6,108
299.1,308.9,1680,27.2,110
299.1,308.9,1397,52.4,112
299.2,309,1597,30.3,115
299.3,309.1,1470,41.1,118
299.3,309.1,1703,31.3,120
299.3,309.1,1388,45.5,123
299.3,309.2,1775,24.2,125
299.3,309.2,1465,41.5,127
299.3,309.2,1586,37.9,129
299.5,309.3,1675,29.2,132
299.4,309.2,1470,44.4,135
299.5,309.3,1477,40.4,138
299.5,309.3,1382,61,140
299.6,309.4,1605,29.8,142
299.6,309.4,1643,32.9,145
299.5,309.3,1333,54.1,147
299.5,309.3,1520,42.3,149
299.5,309.3,1902,24,151
299.5,309.4,1386,44.4,154
299.6,309.5,1803,27.7,159
299.7,309.6,1359,50.7,161
299.7,309.6,1477,42.7,163
299.7,309.6,1321,53.4,166
299.6,309.5,1453,41.4,168
299.7,309.6,1419,45.1,170
299.7,309.6,1512,36.2,172
299.7,309.6,1553,36.8,174
299.7,309.6,1534,39.1,176
299.7,309.6,1553,41,179
299.7,309.5,1352,49.7,184
299.7,309.6,1313,60,186
299.6,309.5,1570,35.5,189
299.6,309.4,1677,31.1,191
299.5,309.4,1602,31.5,193
299.5,309.4,1390,58.8,195
299.4,309.3,1544,36,197
299.4,309.4,1701,31.2,199
299.4,309.3,1692,28.4,201
299.3,309.3,1523,37.9,204
299.3,309.2,2280,15.4,207
299.4,309.3,1485,47.1,209
299.4,309.2,1513,36.1,212
299.4,309.3,1743,28.2,0
299.5,309.3,1442,46.2,5
299.5,309.3,1462,46.7,7
299.4,309.3,1439,49.7,9
299.5,309.3,1577,36.6,14
299.6,309.4,1331,46.4,16
299.5,309.3,1941,22.5,18
299.5,309.2,1393,47.3,20
299.4,309.2,1433,42.1,22
299.4,309.2,1444,48.2,24
299.4,309.2,1564,39,26
299.4,309.3,1377,43.6,28
299.4,309.3,1525,41.5,30
299.5,309.4,1387,56.2,32
299.4,309.4,1326,47.5,35
299.4,309.3,1401,59,38
299.4,309.3,1596,31.8,40
299.3,309.3,1471,46,42
299.3,309.3,1528,37.8,45
299.3,309.3,1325,62,47
299.3,309.1,1376,46.7,49
299.3,309.1,1600,35.3,52
299.3,309.1,1495,44,55
299.4,309.1,1645,28.6,57
299.4,309.1,1417,47.3,59
299.4,309,1415,51.7,62
299.3,309,1496,43.4,67
299.3,309,1508,35,70
299.4,309,1436,47.9,75
299.5,309.1,1852,22.6,77
299.5,309.1,1863,22.5,79
299.4,309.1,1373,44.1,81
299.4,309,1404,47.3,86
299.4,309,1381,44.9,88
299.4,308.9,1762,29.3,91
299.3,308.9,1429,43,96
299.3,308.9,1858,24.7,101
299.2,308.8,1908,21.3,104
299.2,308.8,1503,37.4,109
299.2,308.8,1523,38.9,112
299.3,309,1491,38.4,115
299.2,308.9,1430,39.1,117
299.3,308.9,1258,69.4,119
299.3,309,1449,46.5,121
299.3,309,1425,40.6,123
299.4,309,1800,24.3,128
299.4,309,1607,33.7,130
299.4,309,1391,58.2,135
299.4,309.1,1432,45.4,137
299.4,309,1660,28.4,139
299.3,309,1732,29.7,141
299.3,309,1473,46.3,146
299.3,309,1511,47.8,148
299.2,308.9,1588,41.5,150
299.3,308.9,1623,31.1,152
299.3,309,1734,30.6,154
299.3,309,1415,47.6,156
299.3,309,1419,46.6,158
299.3,308.9,1577,34.9,160
299.3,308.9,1376,60.3,163
299.3,308.8,1442,49,165
299.4,308.9,1451,40.5,168
299.3,308.8,1550,45.8,170
299.3,308.8,1647,32.9,172
299.4,308.9,1550,33.7,174
299.4,308.9,1583,34.1,176
299.4,309,1613,32.2,178
299.3,308.8,1636,35.5,180
299.3,308.7,1289,51.5,185
299.3,308.8,1648,28.4,188
299.3,308.8,1397,45.4,191
299.3,308.9,1767,24.8,196
299.3,308.8,1341,47.7,199
299.4,308.9,1457,41.5,201
299.4,309,1939,19.8,204
299.5,309,1399,49.7,207
299.5,309,1602,31.3,210
299.4,309,1507,41,213
299.4,309.1,1464,40.5,215
299.5,309.1,1336,42.1,217
299.6,309.2,1422,39.8,219
299.6,309.2,1540,36.7,221
299.5,309.1,1476,47.8,223
299.6,309.2,1867,23.4,225
299.6,309.1,1588,41.3,0
299.5,309.1,1420,49.5,5
299.5,309.1,1415,49.2,8
299.4,309.1,1500,43.3,10
299.5,309.1,1502,44.6,13
299.5,309.2,1816,23,15
299.5,309.2,1495,41.6,17
299.6,309.2,1572,33.4,20
299.5,309.2,1590,35.9,22
299.6,309.3,1387,48.3,25
299.6,309.2,1393,47.7,28
299.6,309.2,1602,37.3,31
299.6,309.2,1601,33.3,33
299.6,309.2,1597,36.3,35
299.5,309.1,1548,44.3,40
299.5,309.2,1314,61.8,45
299.6,309.3,1577,39.8,48
299.8,309.4,1475,43.4,51
299.8,309.4,1630,32.4,53
299.7,309.4,1445,42.9,55
299.8,309.4,1439,47.4,57
299.7,309.3,1420,44.1,60
299.7,309.2,1554,41.6,62
299.6,309.1,1471,44.3,67
299.6,309,1648,33.6,70
299.6,309,1472,48.8,72
299.5,308.9,1448,42.9,74
299.6,308.9,1568,35.3,77
299.6,308.9,1613,30.8,80
299.7,308.9,1551,35.4,82
299.7,309,1412,49.2,85
299.7,308.9,1478,41,87
299.8,309.1,1268,58,90
299.8,309.1,1546,35.6,93
299.8,309,1567,36.1,95
299.9,309.2,1548,35.7,97
299.8,309,1614,30.8,100
299.7,309.1,1352,46.1,102
299.9,309.2,1624,34.6,105
299.9,309.2,1436,52,107
299.8,309.2,1591,37.5,109
299.8,309.2,1435,42.6,111
299.8,309.3,1386,49.4,116
299.7,309.2,1401,54.1,118
299.6,309,1245,64,120
299.7,309.1,1475,40,123
299.7,309.1,1473,39.4,125
299.7,309.2,1355,44.8,127
299.7,309.2,1468,49.6,132
299.7,309.2,1645,30.8,137
299.7,309.1,1347,55.3,139
299.7,309.1,1713,33.5,141
299.6,309.1,1435,48.4,143
299.6,309,1736,26.1,146
299.6,309,1372,60.4,149
299.7,309,1605,33,151
299.6,309,1413,48.5,153
299.7,309,1645,31.9,155
299.7,309,1465,49,158
299.6,308.9,1685,27.8,161
299.5,308.8,1965,20.4,164
299.4,308.6,1542,41.8,166
299.4,308.7,1681,30.8,171
299.5,308.7,1446,45.7,173
299.4,308.6,1415,56.4,175
299.5,308.6,1672,30.5,177
299.5,308.7,2549,13,179
299.4,308.6,1492,40.5,181
299.4,308.6,1455,42.7,183
299.3,308.5,1422,43.1,186
299.3,308.6,1403,50.6,189
299.3,308.6,1474,49.6,191
299.2,308.6,1381,50,193
299.2,308.5,1457,44.7,195
299.2,308.4,1711,28.9,197
299.2,308.4,1667,29,199
299.2,308.4,1465,35,201
299.3,308.4,1542,37.5,203
299.3,308.4,1438,42.3,0
299.3,308.4,1406,47.4,3
299.2,308.4,1396,48.5,5
299.3,308.5,1304,60.6,8
299.2,308.5,1442,46.5,11
299.2,308.4,1396,48.7,13
299.1,308.3,1424,43.4,16
299.1,308.3,1451,42.8,21
299.2,308.4,1386,54.1,26
299.1,308.3,1325,46.9,28
299.1,308.3,1559,33.7,30
299.1,308.3,1489,38.1,32
299.1,308.3,1892,25.2,34
299.1,308.2,1319,60.3,36
299.1,308.3,1431,52.3,38
299.1,308.3,1521,36.5,40
299.1,308.2,1435,45.2,45
299.1,308.3,1533,42.4,48
299.2,308.4,1529,43,50
299.2,308.4,1415,43.5,53
299.2,308.4,1330,51.2,56
299.2,308.5,1381,60.6,59
299.2,308.5,1370,52.4,61
299.2,308.5,1438,46.6,63
299.3,308.6,1314,48.2,65
299.3,308.6,1437,48.1,67
299.2,308.5,1821,26.1,69
299.3,308.6,1448,52.1,71
299.3,308.5,1589,32.7,74
299.3,308.6,1520,33.7,76
299.3,308.6,1605,37,78
299.3,308.7,1393,54.2,80
299.3,308.7,1408,44.4,82
299.3,308.7,1459,35.6,87
299.4,308.7,1525,39,90
299.4,308.8,1390,57,92
299.3,308.7,1536,38.9,94
299.4,308.7,1459,47.6,96
299.2,308.5,1387,51.1,98
299.2,308.5,1378,53.4,100
299.4,308.7,1381,56.7,102
299.4,308.7,1289,60.5,104
299.4,308.6,1746,26.8,107
299.4,308.6,1541,39.1,109
299.4,308.7,1504,37.8,112
299.5,308.7,1321,51.9,114
299.5,308.8,1886,20.9,117
299.6,308.9,1422,53.2,120
299.5,308.9,1520,38.3,122
299.4,308.8,1627,32.6,124
299.4,308.7,1512,37.2,126
299.4,308.7,1553,42.7,128
299.3,308.7,1802,26,130
299.3,308.6,1482,37.6,132
299.4,308.7,1446,62.9,134
299.3,308.6,1371,50.5,136
299.2,308.6,1586,35.7,138
299.2,308.5,1515,39.8,141
299.2,308.5,1374,53.6,143
299.1,308.5,1455,39.8,145
299.2,308.5,1342,47.5,147
299.1,308.6,1260,57.8,152
299,308.5,1623,33.5,154
299.1,308.5,1371,55.5,159
299.1,308.6,1611,31.4,161
299,308.4,1535,47.5,163
299.1,308.6,1491,38.5,166
299.1,308.6,1441,36.2,169
299.1,308.8,1725,26.6,172
299.2,308.9,1368,47.2,175
299.2,308.9,1526,37.9,177
299.2,308.8,1542,39.2,179
299.2,308.8,1605,31.1,181
299.2,308.8,1405,51.4,183
299.2,308.8,1700,33.5,185
299.2,308.8,1440,39.1,188
299.2,308.8,1314,52.5,193
299.2,308.7,1514,41.9,196
299.2,308.7,1401,47,198
299.3,308.8,1636,29.9,201
299.3,308.8,1603,33.9,203
299.4,308.7,1487,52.6,205
299.3,308.7,1420,50.3,208
299.3,308.7,1579,36.3,211
299.3,308.7,1484,40.5,213
299.3,308.7,1390,49.3,215
299.3,308.6,1384,53.6,218
299.2,308.5,1378,50.4,220
299.2,308.5,1445,45.2,222
299.2,308.4,1445,43.5,224
299.2,308.4,1509,39.4,0
299.2,308.4,1434,46.8,2
299.2,308.4,1877,23.9,4
299.3,308.3,1651,28,6
299.2,308.2,1466,41.3,8
299.1,308.1,1479,40.7,10
299.1,308.2,1409,46.4,12
299.2,308.2,1674,28.2,14
299.1,308.3,1305,61.4,17
299.2,308.3,1755,26.4,19
299.2,308.4,1475,38.7,22
299.2,308.4,1402,47.7,24
299.2,308.3,1410,43,26
299.2,308.4,1436,41.8,28
299.3,308.5,1386,42.2,30
299.3,308.6,1744,26.4,33
299.2,308.4,1393,48.4,35
299.3,308.5,1422,45.4,37
299.2,308.4,1841,22.8,40
299.3,308.6,1433,37.7,42
299.3,308.5,1305,60.6,44
299.3,308.6,1498,39.5,47
299.3,308.5,1772,26.1,52
299.2,308.4,1381,42.5,54
299.3,308.5,1413,38.5,57
299.2,308.4,1388,53.2,59
299.2,308.6,1631,35.4,64
299.3,308.6,1520,41.4,67
299.3,308.5,1510,45.4,72
299.2,308.5,1366,49.7,74
299.4,308.5,1845,22.9,76
299.3,308.5,1485,44.7,78
299.3,308.5,1496,39.4,80
299.3,308.4,1468,42.2,83
299.2,308.4,1856,22.7,86
299.2,308.4,1620,34.1,89
299.3,308.5,1409,44.8,91
299.3,308.5,1404,49.4,93
299.2,308.4,1350,51.3,96
299.2,308.4,1538,38,98
299.2,308.4,1476,32.7,101
299.2,308.3,1364,51.8,104
299.2,308.3,1582,45.5,107
299.1,308.2,1348,56.1,110
299.1,308.2,1450,46.1,112
299,308.1,1242,60.9,117
299.1,308.2,1493,34.9,119
299.1,308.3,1601,31.4,121
299.1,308.2,1568,33.3,123
299.1,308.3,1506,38,125
299.1,308.3,1524,34.1,128
299.1,308.4,1543,37.9,130
299.2,308.5,1474,47.2,132
299.2,308.5,1526,37.3,135
299.2,308.5,1867,27,138
299.2,308.5,1487,41.2,140
299.2,308.4,1580,32.6,142
299.2,308.5,1340,50,144
299.2,308.5,1544,41.6,146
299.2,308.5,1488,40.3,148
299.2,308.5,1742,28.9,150
299.1,308.5,1592,34.2,153
299.2,308.6,1582,38.8,156
299.2,308.5,1490,43.2,158
299.2,308.5,1594,35.8,160
299.2,308.6,1462,55,163
299.2,308.6,1367,47.6,168
299.2,308.7,1325,51,171
299.2,308.7,1448,51.4,173
299.1,308.7,2008,20.3,178
299.1,308.7,1498,38.9,181
299.1,308.6,1437,41.6,183
299.1,308.6,1499,45.1,185
299,308.4,1356,52.6,188
299.1,308.5,1539,46.8,190
299.1,308.5,1689,32.1,192
299,308.5,1559,38.1,194
299.1,308.6,1408,46.7,196
299,308.5,1886,23,198
299.1,308.5,1415,43.4,0
299.1,308.5,1587,35.6,2
299,308.4,1571,38.6,5
298.9,308.3,1576,36.6,7
298.9,308.3,1660,34.4,9
298.9,308.2,1328,49.2,11
298.8,308.2,1450,44.7,14
298.9,308.2,2384,15,19
298.8,308.2,1443,53.4,21
298.9,308.2,2022,20,23
298.9,308.2,1828,23.8,26
298.8,308.1,1472,53.5,28
298.9,308.2,1372,63.6,30
298.9,308.3,1855,23.8,33
299,308.3,1377,47.2,35
298.9,308.3,1432,48.9,38
298.9,308.2,1335,47.8,40
298.9,308.2,1411,51.3,43
298.9,308.2,1510,43.5,46
299,308.3,1441,44,48
299,308.2,1358,42.7,50
298.9,308.2,1686,30.4,53
299,308.2,1662,30.4,55
299.1,308.3,1426,40.1,60
299.1,308.4,1330,53.6,62
299.1,308.4,1693,31.6,65
299.1,308.4,1426,47.9,67
299.1,308.5,1676,31,69
299.1,308.4,1332,51.7,71
299.1,308.5,1647,35,74
299.2,308.6,1267,68.2,76
299.2,308.7,1375,55.1,78
299.3,308.6,1422,48.9,83
299.3,308.7,1408,48.7,85
299.4,308.9,1440,42.5,87
299.3,308.8,1772,25.2,89
299.2,308.7,1492,37.8,91
299.2,308.7,1650,30.5,93
299.1,308.6,2329,14.6,95
299,308.6,1648,30.8,98
299,308.6,1653,31.7,100
299,308.6,1946,22.3,102
299.1,308.6,1555,36.6,104
299,308.6,1661,32.2,106
299,308.6,1434,45.9,108
299,308.6,1297,54.2,110
299,308.6,1466,46.4,112
298.9,308.6,1517,39.8,114
298.9,308.5,1742,34.5,117
298.9,308.5,1580,39.1,119
298.9,308.5,1534,42.9,121
298.9,308.6,1481,40.7,124
299,308.6,1429,37.7,126
298.9,308.6,1574,33.5,128
298.9,308.6,1524,40.4,131
299,308.7,1507,37.5,134
298.9,308.5,1467,44.7,136
298.9,308.4,1301,51.1,138
298.9,308.5,1429,55.1,140
298.9,308.5,1555,37.6,142
298.9,308.5,1503,40.6,145
298.9,308.5,1459,43.1,147
298.9,308.4,1449,42.4,149
298.9,308.5,1387,57.3,154
298.9,308.5,1456,50,156
299,308.5,1604,34.7,159
299,308.6,1734,32.4,161
299,308.6,1378,47.8,163
298.9,308.7,1504,41.8,165
298.9,308.7,1402,49.8,167
298.8,308.6,1524,37.7,170
298.8,308.6,1593,35.5,175
298.9,308.7,1772,28.4,177
298.9,308.6,1623,31,180
298.9,308.7,1356,50.7,185
298.9,308.7,1500,41.6,187
299.1,308.8,1566,46.6,192
299.1,308.9,1445,43.4,197
299,308.8,1382,58.5,199
299,308.8,1418,45.7,204
299.1,308.8,1329,53.6,207
299.1,308.8,1491,41,209
299.2,308.9,1573,37.4,212
299.2,308.9,1521,42.3,215
299.1,308.9,1467,47.2,218
299.1,308.9,1325,48.4,220
299.1,308.9,1617,32.3,223
299.1,308.9,1476,42.7,225
299.2,309,1515,48.9,228
299.2,309,1408,47.2,0
299.2,309.1,1468,45.6,2
299.2,309.1,1387,48.7,4
299.2,309.1,1503,34.7,6
299.2,309.1,1410,47.1,9
299,308.9,1615,30.6,14
299,308.9,1511,35.9,16
299.1,309,1405,53.8,18
299,308.9,1526,41.1,20
298.9,308.8,1530,38.3,23
299,308.7,1583,32.5,25
298.9,308.6,2069,18.7,27
298.8,308.5,1490,35,29
298.8,308.5,1736,29,31
298.8,308.5,1395,44.4,33
298.9,308.6,1425,49.6,35
298.8,308.6,1631,32.4,38
298.8,308.6,1535,41.2,40
298.8,308.6,1584,34.4,42
298.8,308.7,1543,38.2,44
298.8,308.7,1635,35.2,47
298.8,308.7,1446,45.5,49
298.8,308.6,1598,35.1,52
298.8,308.6,1501,35,55
298.8,308.5,1450,50.8,57
298.8,308.6,1730,25.9,59
298.8,308.6,1571,33.7,61
298.9,308.7,1438,51.7,64
298.8,308.5,1510,38.7,66
298.9,308.7,1389,44.9,69
298.8,308.7,1490,33.6,71
298.9,308.7,1729,26.6,73
299,308.8,1495,38.4,75
298.9,308.8,1281,53.9,77
298.9,308.7,1353,48.1,79
299.1,308.8,1429,50.1,84
299.1,308.8,1413,42.1,86
299.1,308.8,1502,38.3,88
299.1,308.8,1553,32.6,90
299.2,308.9,1712,26.4,95
299.3,309,1786,23.5,100
299.2,309,1951,21.4,102
299.2,309,1541,36.3,104
299.2,309.1,1605,34.3,107
299.2,309.1,1578,38.1,109
299.3,309.2,1440,37.5,111
299.4,309.2,1489,42.3,114
299.4,309.3,1366,48.4,116
299.3,309.2,1541,37.2,118
299.3,309.1,1552,40.7,120
299.3,309.1,1473,40.3,125
299.3,309.1,1531,37.9,127
299.3,309.2,1511,37.2,129
299.3,309.1,1449,47.9,131
299.4,309.1,1440,50,134
299.2,309,1881,23.9,137
299.3,309,1447,50.4,140
299.4,309.1,1326,62,142
299.4,309.2,1607,31.7,145
299.3,309.1,1551,39.1,147
299.3,309.1,1496,37.2,149
299.3,309.1,1493,38,151
299.4,309.1,1304,50.5,153
299.3,309,1420,41.6,155
299.4,309.1,1766,24.6,158
299.6,309.2,1450,43.1,160
299.5,309.2,1872,22.6,162
299.6,309.2,1713,26.5,167
299.5,309.2,1497,40.9,169
299.4,309.1,1352,44.7,172
299.5,309.2,1499,41.5,175
299.5,309.3,1972,19.3,177
299.5,309.3,1422,49.2,179
299.5,309.3,1523,41.5,181
299.5,309.4,1563,41.5,183
299.4,309.3,1391,46.6,185
299.3,309.1,1795,24.7,187
299.3,309.1,1293,53.7,189
299.2,309.1,1345,60.7,191
299.2,309,1615,33.7,193
299.2,308.9,1342,50.8,195
299.1,308.8,1502,46.7,197
299,308.7,1620,35.4,199
299,308.7,1537,42.8,202
299,308.7,2248,16.8,204
299,308.7,1706,28.6,206
299,308.7,2250,16.6,208
299,308.7,1396,48.6,0
298.9,308.6,1522,46.4,2
298.9,308.6,1539,45.4,4
298.9,308.5,1415,54,6
298.8,308.5,1446,37,11
298.8,308.6,1486,41.1,13
299,308.7,1426,38.6,16
299,308.7,1449,38.9,18
299.1,308.8,1320,67.5,20
299.2,308.9,1447,39.6,22
299.3,309,1422,47.3,25
299.3,309.1,1399,52.1,27
299.4,309.2,1427,41.5,29
299.3,309.2,1334,46.3,31
299.3,309.1,1385,45.6,34
299.4,309.2,1552,37.4,37
299.4,309.3,1534,37.5,39
299.4,309.3,1448,48.6,44
299.5,309.3,1409,44.7,46
299.4,309.2,1621,34.5,48
299.4,309.1,1547,40.9,50
299.4,309.1,1957,22.1,55
299.4,309.1,2421,14.2,57
299.3,309.1,1571,38.3,59
299.3,309.1,1634,36.8,62
299.3,309,1516,38.7,64
299.4,309.1,1207,66.5,66
299.4,309.1,1670,35.9,68
299.4,309.1,1461,48.6,70
299.4,309.2,1569,40.8,73
299.4,309.2,1556,35.7,75
299.5,309.3,1506,41.5,77
299.6,309.4,1642,30.3,80
299.6,309.4,1283,62.1,83
299.7,309.5,1375,46.8,86
299.7,309.4,1399,39.9,91
299.7,309.4,1650,29.8,93
299.8,309.6,1346,53.2,95
299.9,309.6,1410,51.2,98
300,309.7,1586,37.8,103
300,309.8,1372,39.6,105
300,309.7,1529,42.4,107
300,309.7,1652,28.6,112
300.1,309.8,1532,39.8,115
300,309.7,1554,32,117
299.9,309.6,1462,51,119
299.9,309.6,1254,61.3,124
299.9,309.6,1294,49.7,126
299.8,309.5,1739,27.5,128
299.8,309.4,1412,47.8,130
299.9,309.5,1372,56.2,133
299.8,309.5,1420,46.7,136
299.8,309.5,1542,40.3,141
299.8,309.4,1401,48.1,143
299.8,309.4,1510,42.5,146
299.9,309.5,1547,38.5,148
299.8,309.5,1453,43.2,153
299.8,309.4,1408,45.6,156
299.8,309.4,1436,51.6,158
299.9,309.5,1582,38.2,160
299.9,309.6,1280,59.3,163
299.9,309.5,2008,20.4,165
299.9,309.5,1772,23.5,167
299.9,309.5,1779,26.1,169
299.9,309.5,1567,35.5,171
299.8,309.4,1751,27,173
299.9,309.5,1349,51.3,176
300,309.5,1425,40.8,178
300,309.4,1395,44.5,181
299.8,309.3,1595,32.1,183
299.8,309.3,1291,56.4,188
299.9,309.4,1509,42.8,190
299.9,309.4,1483,38.1,193
299.9,309.3,1620,31.1,196
299.9,309.4,1487,42.2,198
299.8,309.4,2256,15.9,201
299.7,309.2,1691,27.7,203
299.8,309.3,1663,35.2,208
299.8,309.3,1640,31.1,211
299.7,309.3,1494,37.8,214
299.8,309.4,1467,46.2,219
299.7,309.3,1399,41.9,221
299.7,309.3,1445,42.6,0
299.8,309.4,1480,40.9,2
299.7,309.3,1546,37.2,4
299.7,309.3,1574,35.8,6
299.7,309.3,1592,34.2,8
299.8,309.5,1495,39.6,10
299.8,309.6,1447,43.1,12
299.8,309.5,1476,44.4,14
299.8,309.5,1641,27.1,16
299.8,309.5,1545,32.2,18
299.9,309.6,1364,44.4,20
299.8,309.5,1590,28.5,23
299.8,309.4,1460,37.4,25
299.8,309.4,1609,32.5,27
299.8,309.4,1633,27.5,29
299.9,309.4,1348,52.8,31
299.9,309.4,1322,53.9,33
300,309.5,1641,30.1,35
300,309.5,1728,26,37
300,309.6,1431,47.7,39
300.1,309.7,1641,30.4,41
300.1,309.6,1622,36.1,43
300.1,309.6,1625,38,46
300,309.5,1869,22.7,49
300,309.6,1452,46,51
300,309.6,1618,28.7,53
300,309.4,2010,20,55
299.9,309.4,1363,60.9,57
299.9,309.3,1473,40.4,59
299.9,309.2,1333,50.8,61
299.8,309.2,1760,25.9,63
299.8,309.2,1372,58.2,65
299.7,309.2,1608,34.4,68
299.7,309.2,1326,64.8,71
299.6,309.1,1560,37.1,73
